,IRIS,LIBCOM,TYP_IRIS,C16_PMEN_MENSFAM,C16_PMEN_MENHSEUL,C16_PMEN_MENFSEUL,C16_PMEN_MENCOUPSENF,C16_PMEN_MENCOUPAENF,C16_PMEN_MENFAMMONO,C16_PMEN_CS1,C16_PMEN_CS2,C16_PMEN_CS3,C16_PMEN_CS4,C16_PMEN_CS5,C16_PMEN_CS6,C16_PMEN_CS7,C16_PMEN_CS8
2,010040101,Ambérieu-en-Bugey,H,16.98203749129602,209.4449114592887,204.44152028031,342.9047658869445,644.6243023381434,134.7084551424617,0.0,41.81901202811902,111.78111473344386,316.4355196957917,301.68261027967884,327.62321644814364,326.51662228101617,127.24789713225114
3,010040102,Ambérieu-en-Bugey,H,62.67746944055531,375.9432265204742,428.6544869329356,699.9205566770933,1457.9811075329485,521.0333166033613,1.86982376157646,110.28377421253596,198.350309301398,651.8518117962401,740.0778389522281,1017.6881313324516,583.6880739191579,242.40040043177973
4,010040201,Ambérieu-en-Bugey,H,110.91191706593628,324.08604505671093,473.0312562332256,842.0881757469683,1664.905433562725,582.9788965359726,0.0,175.31966836055042,434.2184138060427,787.5061704214629,725.2347153486675,1038.8947321161916,736.6574881628525,100.17053598577124
5,010040202,Ambérieu-en-Bugey,H,65.99046561819794,232.02461516330044,284.8440485899124,1245.799402919993,2202.893785318188,477.1211207656586,0.0,289.4095184755808,655.2089543980917,1226.20553095572,722.6691826658971,738.262084592399,818.095441232725,58.82272605483738
32,010330101,Bellegarde-sur-Valserine,H,30.64382215704574,92.0315646506114,157.50580560668132,343.9672962309981,662.4367885772309,125.91581602620312,17.96804175231429,28.61733537173956,90.26117605917986,213.30571803880676,247.86565727148533,481.2044050388782,277.01365731194,56.26510240442664
33,010330102,Bellegarde-sur-Valserine,H,97.95011982543922,292.4528345864771,474.80913272620455,662.5375885730864,1004.4843660054044,404.1304277540363,0.0,149.41890165723484,257.70886574860606,401.6988825370639,607.6319311263601,812.6666217783865,605.6447169731882,101.59454964980856
34,010330201,Bellegarde-sur-Valserine,H,48.37738498201386,171.03616384445766,177.56916082015954,737.7270518637271,1182.973069140996,200.90215734961674,0.0,163.17517454668908,195.7163740655567,434.0820645613505,447.6177305551242,693.5599559175031,541.2242873020451,43.20940105270212
35,010330202,Bellegarde-sur-Valserine,H,62.55599128899343,163.0016697301656,201.6878106907741,596.0806703676509,1386.5519477412977,342.0463295657861,0.0,90.47055602392292,104.8239844492719,386.3319502889012,354.42127482359746,1125.9231218896375,580.0318513142263,109.9216805951107
36,010330301,Bellegarde-sur-Valserine,H,14.08260204069426,87.18314318057539,90.73476446215012,352.1107814243228,1154.9883633449958,92.52956294391775,4.30682033922204,113.5425565951912,107.2252811373196,238.74216413857056,324.350013860176,760.4800265455963,213.1580748488596,29.82427993172108
37,010340101,Belley,H,90.0,295.0,325.0,780.0,1345.0,345.0,0.0,165.0,285.0,635.0,710.0,695.0,580.0,110.0
38,010340102,Belley,H,195.0,315.0,515.0,830.0,1015.0,435.0,0.0,195.0,315.0,425.0,715.0,785.0,745.0,125.0
39,010340103,Belley,H,95.0,120.0,215.0,385.0,1130.0,275.0,0.0,105.0,100.0,175.0,390.0,860.0,445.0,145.0
57,010530101,Bourg-en-Bresse,H,79.63105000704203,404.4631009649261,460.48462305144807,327.7611964372407,266.977838584885,302.1910845261958,0.0,70.06213674266746,180.31712887349408,349.68621282963346,372.5177033638125,276.96126115433856,271.42799351715234,320.53645709063926
58,010530102,Bourg-en-Bresse,H,45.026490991993,352.86392520673087,466.234610846462,424.1786238071617,400.5050500767843,238.17892704613786,0.0,94.35047719252906,107.2582864384718,394.6429636707882,274.9401390086909,306.0800791654043,581.0216119455607,168.69407055382462
59,010530103,Bourg-en-Bresse,H,47.32278086700638,276.7339492709444,352.87967016929315,363.2452613778108,478.3734823223096,190.41174294052007,0.0,78.86316488089447,284.77450415773325,327.9855515094308,290.26959701131653,196.004440835627,370.104573818302,160.9650547345802
60,010530201,Bourg-en-Bresse,H,54.77399060931055,234.6840038472423,394.3336096725826,522.6127579295777,619.5131505322026,335.7136715298351,0.0,91.61359378387618,215.9305293590641,351.68848212209326,467.69846115631736,421.2624456695154,514.0434205715457,99.39425145833911
61,010530202,Bourg-en-Bresse,H,0.0,210.36172911530213,344.4753928243905,454.9196058166922,727.8790964322013,400.79355692329653,0.0,65.408675883345,210.58525557825595,406.85875011199374,417.9955374043714,458.94110542612464,397.2453742777229,181.39468243006908
62,010530203,Bourg-en-Bresse,H,33.64687153736669,233.5364259501179,355.10502911792463,409.5620763806071,575.2017829869943,322.50847067770184,0.0,36.96483554146787,162.1556683718044,330.5073260516458,360.3831453353351,465.238152138662,415.2900612808968,159.0214679309005
63,010530301,Bourg-en-Bresse,H,140.0422915985577,409.73481974126656,581.1383965923914,560.5610732398411,636.8411661094759,308.40823678095245,0.0,109.10928597010154,386.5910114775576,582.7194390007915,406.133119662389,440.4479073633116,448.2214602658857,263.50376032244816
64,010530302,Bourg-en-Bresse,H,110.45778214139392,374.41142579379925,444.3327363483872,572.7687219567343,1047.0622014592798,601.3225697854451,0.0,99.6490483063158,366.67900304138334,645.5794227298929,725.2154676585011,653.3153038981737,507.9873162697481,151.92987558102465
65,010530401,Bourg-en-Bresse,H,47.25763719472883,116.72461818674032,308.7124633280203,551.9917513525731,758.4861385230587,273.6102332352465,0.0,63.99581751697195,138.1662886214669,310.4568478455334,312.353941730131,457.6724499063218,707.4845659961031,66.65293020383962
66,010530402,Bourg-en-Bresse,H,16.18132627481022,167.4628392356789,274.17741071142143,623.6402800981707,1109.5565783885818,245.78305572384758,9.11613772896867,97.12214946887543,337.9790859944645,479.87271023809774,322.1163232277292,529.4887349260506,595.8206032013662,65.2857456469583
