,IRIS,LIBCOM,TYP_IRIS,P16_RPMAISON,P16_RPAPPART,P16_RP_LOCHLMV
2,010040101,Ambérieu-en-Bugey,H,305.67049412006526,485.9078504229298,231.4338426354396
3,010040102,Ambérieu-en-Bugey,H,427.5517182998341,1296.1295126231707,641.7351298237752
4,010040201,Ambérieu-en-Bugey,H,723.0036182097383,1180.2982164657992,388.6462861888166
5,010040202,Ambérieu-en-Bugey,H,1514.7007451002935,387.733119486162,43.00668153028514
32,010330101,Bellegarde-sur-Valserine,H,276.1590768609222,380.56568585726166,187.99361595436363
33,010330102,Bellegarde-sur-Valserine,H,37.489641417631,1482.3210279410298,372.9276705834778
34,010330201,Bellegarde-sur-Valserine,H,514.4441746802657,596.2627193503224,184.87550561106724
35,010330202,Bellegarde-sur-Valserine,H,188.2599940245329,952.471926125888,609.8677220561132
36,010330301,Bellegarde-sur-Valserine,H,405.831871854929,274.5334710108784,230.63709685141052
37,010340101,Belley,H,790.0,634.0,122.0
38,010340102,Belley,H,642.0,1111.0,411.0
39,010340103,Belley,H,426.0,449.0,407.0
57,010530101,Bourg-en-Bresse,H,24.763373145951395,1225.5633013698755,111.11488053283324
58,010530102,Bourg-en-Bresse,H,62.46044175491785,1182.2597436011797,151.79434444264118
59,010530103,Bourg-en-Bresse,H,64.27850395573581,973.0963236757892,93.71350314158316
60,010530201,Bourg-en-Bresse,H,291.5261718662166,903.6837245903188,229.77884880096903
61,010530202,Bourg-en-Bresse,H,208.7342578654766,912.488830656637,461.4031577006441
62,010530203,Bourg-en-Bresse,H,258.30780263364016,804.6287644801536,223.64259015467584
63,010530301,Bourg-en-Bresse,H,186.6484998291164,1405.6070653588718,186.4713814230524
64,010530302,Bourg-en-Bresse,H,235.3474043804824,1368.9829787850858,689.421419467573
65,010530401,Bourg-en-Bresse,H,518.4315130050338,420.0719273687647,322.16444190466126
66,010530402,Bourg-en-Bresse,H,690.5183915136355,444.3948934386534,203.9430985407024
67,010530501,Bourg-en-Bresse,H,150.1246760260257,690.1973261143081,259.4801670548825
68,010530502,Bourg-en-Bresse,H,561.6813314981599,770.5769488713939,329.8394459435231
69,010530503,Bourg-en-Bresse,H,161.2856053475077,1008.5505290086614,814.3740426693257
70,010530601,Bourg-en-Bresse,H,77.52384590005742,1143.5918982796932,663.3911270822869
71,010530602,Bourg-en-Bresse,H,49.90883605003064,829.5929359156314,533.0721283723964
72,010530603,Bourg-en-Bresse,H,0.0,717.1712721391957,661.3895112786089
73,010530604,Bourg-en-Bresse,H,454.41099959463855,95.1089394851076,54.89923914134577
74,010530701,Bourg-en-Bresse,H,676.509390146068,446.13411016632,257.94463667615656
155,011430101,Divonne-les-Bains,H,236.50369980711903,1489.678905839032,139.35072768718217
156,011430102,Divonne-les-Bains,H,699.6976678940907,353.2835349815886,80.47013852358407
157,011430103,Divonne-les-Bains,H,548.570822374189,840.0297387339996,197.2499736980536
173,011600101,Ferney-Voltaire,H,256.23847517730496,1327.9583333333337,183.16666666666669
174,011600102,Ferney-Voltaire,H,86.71187943262412,1258.7836879432623,94.50620567375888
175,011600103,Ferney-Voltaire,H,90.60904255319149,1536.456560283688,423.81648936170217
184,011730101,Gex,H,279.820161902057,1455.1971720498286,312.5556856464096
185,011730102,Gex,H,820.746837952059,1229.0918943455863,433.4085398289287
186,011730103,Gex,H,574.8370411909945,1149.1229439412286,192.4369691713364
204,011940101,Jassans-Riottier,H,887.9876198874646,858.0942751974918,496.039946217424
205,011940102,Jassans-Riottier,H,618.7406652577786,244.5258404557714,135.4548084448739
212,012020101,Lagnieu,H,984.0,401.0,106.0
213,012020102,Lagnieu,H,883.0,865.0,478.0
250,012440101,Meximieux,H,621.6187297696074,635.9235386386667,182.6641359937949
251,012440102,Meximieux,H,419.64097422125855,667.7240799283976,368.5296515629589
252,012440103,Meximieux,H,728.4297726272524,132.50313800514647,128.42040727213174
257,012490101,Miribel,H,475.1227332327889,633.0655197618515,42.69932807276962
258,012490102,Miribel,H,606.4799978041999,967.3042189461604,531.630459409356
259,012490103,Miribel,H,896.7121878428393,207.4337916626021,78.36027840264455
269,012620101,Montluel,H,1038.6246312653952,302.1706266404274,69.25938347318046
270,012620102,Montluel,H,266.14263578442035,1299.1379741098249,552.9219101271407
288,012830102,Oyonnax,H,66.75817880972205,761.6850984307792,664.0739619673684
289,012830103,Oyonnax,H,45.45156940040916,1140.3175969407991,944.4570947102892
290,012830104,Oyonnax,H,84.04318122013841,704.2747447495046,703.8489705510342
291,012830201,Oyonnax,H,339.7057125311096,694.384926230351,301.8534284595373
292,012830202,Oyonnax,H,320.434229972634,742.7482319777089,145.8222841986333
293,012830203,Oyonnax,H,288.59765990377053,391.8814556733119,393.1851781845451
294,012830301,Oyonnax,H,323.82136276383494,814.903274891832,396.9450547723158
296,012830303,Oyonnax,H,269.1476697930165,743.5019575288264,261.7401716196989
297,012830304,Oyonnax,H,444.6865869282734,525.7073084856341,211.21251938960887
298,012830305,Oyonnax,H,537.7627386858375,70.10221291310066,17.46106954246379
304,012890101,Péronnas,H,715.0,524.0,390.0
305,012890102,Péronnas,H,1081.0,369.0,89.0
361,013540101,Saint-Genis-Pouilly,H,927.837485017982,658.6165598794496,128.88929484438563
362,013540102,Saint-Genis-Pouilly,H,538.269719692065,1103.866550369355,337.6460542210008
363,013540103,Saint-Genis-Pouilly,H,79.55271567333119,1587.403371241852,632.6841651472323
432,014270101,Trévoux,H,592.356179780163,245.9558742233281,237.71240293079933
433,014270102,Trévoux,H,727.1997647681063,1297.3903210172116,415.4068145924891
455,014510101,Viriat,H,618.7891791539838,20.75810345404738,0.0
456,014510102,Viriat,H,1512.3761087948806,458.6552382227611,317.3024385118671
623,021680101,Château-Thierry,H,332.7463801053732,1896.28880018578,691.5937112249526
624,021680201,Château-Thierry,H,462.28649874979016,470.106668046545,81.41005761224889
626,021680401,Château-Thierry,H,486.8165445773757,444.9853838515876,265.8803327873616
627,021680501,Château-Thierry,H,108.42722069227533,745.5509015999668,676.0110643419051
628,021680601,Château-Thierry,H,711.1569119175246,108.96177764273824,3.08760245114394
629,021680701,Château-Thierry,H,503.7350382318597,466.4166691450865,463.4919008363414
634,021730101,Chauny,H,927.2584848960128,1139.9428436519895,1034.8400321271058
635,021730201,Chauny,H,1552.676869328994,583.5819984608612,184.415022471378
636,021730301,Chauny,H,983.915257349712,319.6306888828465,131.2665955511409
797,023400101,Gauchy,H,760.9831276646396,12.095322134487262,19.12858936400685
798,023400201,Gauchy,H,635.0476206040495,284.63873744034333,348.24796386844355
799,023400301,Gauchy,H,467.9365599662715,126.277397562889,145.08266595261705
837,023810101,Hirson,H,1067.991282571781,465.5870218477363,186.84742324152572
838,023810201,Hirson,H,865.8284967694746,281.80267111836673,244.02477680177407
839,023810301,Hirson,H,451.29268345767423,382.88406401952,310.3913478984909
840,023810401,Hirson,H,537.0587137980467,72.49271612102912,81.6819336574976
866,024080101,Laon,H,119.63984663410658,1071.717427005661,943.7608952847876
867,024080102,Laon,H,0.0,508.208794350648,481.8173656753576
868,024080103,Laon,H,197.50492052588237,316.6492866732855,228.4685175875582
869,024080201,Laon,H,1184.3642158611526,194.48147965294248,508.0906319068224
870,024080301,Laon,H,419.62683223553415,614.0085719962773,230.06912880377195
871,024080401,Laon,H,470.8348956726919,26.97920960762217,168.74616048321374
872,024080402,Laon,H,302.3447704055655,783.9218463589367,957.317278595564
873,024080501,Laon,H,525.3002637001042,1609.1853862843273,338.1401546497096
874,024080601,Laon,H,512.5212999501337,645.559891242042,310.07901380487806
875,024080701,Laon,H,19.58305723346844,13.60068851381638,0.0
876,024080801,Laon,H,701.9297379058314,893.2118412732432,829.6041552163312
877,024080901,Laon,H,719.7448350390151,124.22248825400244,25.98132768894983
1151,026910101,Saint-Quentin,H,441.7068246681277,775.2685695471476,143.37844483769655
1152,026910102,Saint-Quentin,H,383.4279176384387,707.0032772294932,14.63954117899944
1153,026910103,Saint-Quentin,H,227.4053959377419,871.0427519955284,106.8159443805072
1154,026910104,Saint-Quentin,H,381.68461857144126,770.381649920397,129.61711777907797
1155,026910201,Saint-Quentin,H,624.7100767256939,580.0935269191592,178.55713098201377
1156,026910202,Saint-Quentin,H,395.6289427918137,432.8219297901685,33.37454992400777
1157,026910203,Saint-Quentin,H,267.8615118363451,667.1771038372309,74.44729402030599
1158,026910204,Saint-Quentin,H,129.19141420921625,551.8698633797986,539.8022921605832
1159,026910205,Saint-Quentin,H,29.05603210625481,572.4438574884599,566.071671592642
1160,026910206,Saint-Quentin,H,28.737748486089675,723.4079688580017,532.4570201217555
1161,026910207,Saint-Quentin,H,32.59458464388675,842.4090713880033,482.273612305741
1162,026910208,Saint-Quentin,H,642.0886338759567,31.11711256792742,0.0
1163,026910209,Saint-Quentin,H,691.8816027123509,259.6055185278661,134.11576454155815
1165,026910301,Saint-Quentin,H,697.12698096429,383.04578312995113,24.61642820621878
1166,026910302,Saint-Quentin,H,821.9892556130541,119.72170958483348,17.88695266514073
1167,026910303,Saint-Quentin,H,577.0247490943337,686.0003269991905,1108.510530291411
1168,026910304,Saint-Quentin,H,1076.9508830033722,642.7259604459459,541.3434995536503
1169,026910401,Saint-Quentin,H,740.5566583063969,448.66756070921633,461.1282998867882
1170,026910402,Saint-Quentin,H,642.1699572910842,235.73890876255996,146.1801015622741
1171,026910403,Saint-Quentin,H,823.0558640664656,149.78537591171585,98.60262660071916
1172,026910501,Saint-Quentin,H,913.9499696377226,267.14188074177525,183.97232043939164
1173,026910502,Saint-Quentin,H,400.5090933498104,236.1205769273168,34.3402362892314
1174,026910503,Saint-Quentin,H,468.4320180945617,597.8456806315812,622.3899618979647
1175,026910504,Saint-Quentin,H,833.7086735074614,83.16730389257673,183.54258925460925
1177,026910601,Saint-Quentin,H,1289.6685057833824,277.4100310209363,52.92229512499823
1206,027220101,Soissons,H,326.9228801874675,637.3626773773105,676.8082189389239
1207,027220102,Soissons,H,2.42888695497096,593.358597516144,590.2111386988931
1208,027220103,Soissons,H,75.35011907032516,706.8358237195462,676.7453326006093
1209,027220201,Soissons,H,58.48388307025908,937.7834530464476,772.7677796356645
1210,027220301,Soissons,H,763.0884678473218,128.1532286852811,38.251284653211
1211,027220401,Soissons,H,369.2289135545072,783.2277254035748,898.1114368574359
1212,027220501,Soissons,H,536.9448825141059,483.596608839391,178.0821553449349
1213,027220502,Soissons,H,336.7397830568922,1155.8706827917952,577.8924735381162
1214,027220503,Soissons,H,263.2295824028984,1260.3062874527202,143.01774148058203
1215,027220601,Soissons,H,184.99061634901463,431.44868399885183,420.6104036643292
1216,027220701,Soissons,H,539.0929140993177,598.8899835961746,222.47490818630803
1217,027220801,Soissons,H,406.1881838851737,542.0476833487651,552.6108511980079
1218,027220901,Soissons,H,422.7289676116004,769.3232857669055,152.55490823920732
1234,027380101,Tergnier,H,462.91581708217,94.02065074467444,134.33167573961336
1235,027380102,Tergnier,H,537.6814622134724,63.74663266212433,387.9469683271407
1236,027380201,Tergnier,H,750.0614851564313,296.4945383037354,385.9294387409083
1237,027380301,Tergnier,H,833.4247281453551,248.29792401541505,224.08851648030364
1238,027380302,Tergnier,H,673.2231422983755,518.6497590807342,537.9686206887487
1239,027380401,Tergnier,H,1199.5090015666,274.49715747517286,247.9254972219617
