,IRIS,LIBCOM,TYP_IRIS,P16_POP0014,P16_POP1529,P16_POP3044,P16_POP4559,P16_POP6074,P16_POP75P,C16_POP15P_CS1,C16_POP15P_CS2,C16_POP15P_CS3,C16_POP15P_CS4,C16_POP15P_CS5,C16_POP15P_CS6,C16_POP15P_CS7,C16_POP15P_CS8
2,010040101,Ambérieu-en-Bugey,H,319.1555753018585,519.0110043110187,346.9371272530932,259.1986572176077,295.4707857404404,153.33905662687644,0.0,11.843391789162164,66.40522587018873,201.97713788755908,289.2940581688675,226.49631316439496,404.8137855921096,359.1264628122425
3,010040102,Ambérieu-en-Bugey,H,706.6864356997727,795.0529382610599,737.7948539495385,607.3353191961316,425.6411614072613,273.69945519360385,2.80473564236469,70.1010993773636,123.21746097104406,447.3275848124353,509.4841899868485,584.5174827456898,592.776743695102,509.2944307767472
4,010040201,Ambérieu-en-Bugey,H,801.2409944748814,848.693970866313,732.2985916356835,717.2440670783553,591.3367323462053,409.18923195583534,0.0,78.66865548577162,225.66780515466587,511.2508467809043,525.5636222797798,572.9814712955302,871.1359332078945,499.4940038133336
5,010040202,Ambérieu-en-Bugey,H,964.21194489151,729.9242153973875,932.2680560561222,927.750920735243,648.2088708297713,339.31003357442495,0.0,139.5373214834054,367.0381073343216,779.6406922917967,506.5834423851634,413.13816156142025,920.393874201762,463.1307166475192
32,010330101,Bellegarde-sur-Valserine,H,279.4355025433378,237.73435621604435,316.9638740839609,285.85325484666225,187.59624653875056,104.91785902001467,8.86344648950706,23.82471367874434,57.35021948155692,139.7136861475891,227.8024122096301,257.35257208443807,262.27768930519727,155.88085130876993
33,010330102,Bellegarde-sur-Valserine,H,523.0424904290151,612.6502470867791,615.2172300976453,467.1046305340867,356.37573307009745,361.97413825302425,0.0,67.11907994047253,153.34890856707094,298.44867288589904,472.6018048714201,438.2187408718087,625.6398847225732,357.9448871823884
34,010330201,Bellegarde-sur-Valserine,H,434.4807695641399,413.69913555614977,492.7729243357768,572.7988891716728,455.0945699088553,265.736794561636,0.0,92.20294140758028,121.61420259192624,296.6228087438502,421.5011800808071,387.32267010616965,653.8121219701477,221.0264871630616
35,010330202,Bellegarde-sur-Valserine,H,623.7170188210724,481.75324964858,590.8665287713156,461.26071889323794,431.98431005542375,252.3411152532567,0.0,30.687069279335397,69.79031525258085,241.0738208268463,310.4030821226589,541.2664202362286,632.9142485107336,393.0709499718551
36,010330301,Bellegarde-sur-Valserine,H,464.010799968207,316.89520678826744,399.3460086568035,358.79051119323384,205.9264112474788,95.65947488547366,4.076655820079466,53.1357643907993,54.07680821318106,145.2808591256622,257.56678283407774,391.78026579422783,253.8570797644842,216.8433968287454
37,010340101,Belley,H,552.0,584.0,578.0,644.0,479.0,289.0,0.0,105.0,140.0,360.0,547.5,410.0,602.5,482.5
