region;class_age90;jour;hosp;reanimation;retour dom;deces;;;;;;;
1;0;07/04/2020;34;17;43;8;;;;;;;
1;9;07/04/2020;0;0;0;0;;;;;;;
1;19;07/04/2020;0;0;0;0;;;;;;;
1;29;07/04/2020;0;0;1;0;;;;;;;
1;39;07/04/2020;1;1;3;0;;;;;;;
1;49;07/04/2020;3;1;3;0;;;;;;;
1;59;07/04/2020;2;2;16;0;;;;;;;
1;69;07/04/2020;12;7;9;1;;;;;;;
1;79;07/04/2020;9;5;3;4;;;;;;;
1;89;07/04/2020;7;1;7;3;;;;;;;
1;90;07/04/2020;0;0;0;0;;;;;;;
2;0;07/04/2020;51;19;41;4;;;;;;;
2;9;07/04/2020;0;0;0;0;;;;;;;
2;19;07/04/2020;0;0;0;0;;;;;;;
2;29;07/04/2020;1;0;2;0;;;;;;;
2;39;07/04/2020;1;0;2;0;;;;;;;
2;49;07/04/2020;5;0;10;0;;;;;;;
2;59;07/04/2020;13;8;9;0;;;;;;;
2;69;07/04/2020;15;6;9;0;;;;;;;
2;79;07/04/2020;12;4;7;1;;;;;;;
2;89;07/04/2020;4;1;2;3;;;;;;;
2;90;07/04/2020;0;0;0;0;;;;;;;
3;0;07/04/2020;7;1;8;0;;;;;;;
3;9;07/04/2020;0;0;0;0;;;;;;;
3;19;07/04/2020;0;0;0;0;;;;;;;
3;29;07/04/2020;1;0;0;0;;;;;;;
3;39;07/04/2020;0;0;1;0;;;;;;;
3;49;07/04/2020;2;0;4;0;;;;;;;
3;59;07/04/2020;0;0;1;0;;;;;;;
3;69;07/04/2020;2;0;1;0;;;;;;;
3;79;07/04/2020;0;0;0;0;;;;;;;
3;89;07/04/2020;1;1;1;0;;;;;;;
3;90;07/04/2020;0;0;0;0;;;;;;;
4;0;07/04/2020;37;4;52;0;;;;;;;
4;9;07/04/2020;0;0;0;0;;;;;;;
4;19;07/04/2020;0;0;1;0;;;;;;;
4;29;07/04/2020;3;0;7;0;;;;;;;
4;39;07/04/2020;1;0;10;0;;;;;;;
4;49;07/04/2020;3;0;5;0;;;;;;;
4;59;07/04/2020;11;2;9;0;;;;;;;
4;69;07/04/2020;8;1;11;0;;;;;;;
4;79;07/04/2020;5;1;9;0;;;;;;;
4;89;07/04/2020;6;0;0;0;;;;;;;
4;90;07/04/2020;0;0;0;0;;;;;;;
